Genero;Modalidade_Estudo;Area_Interesse;Nota_Final;Horas_Semana;Atividades_Realizadas
Feminino;Autodidata;Web;73.5;8.1;11
Masculino;Grupo de estudos;Redes;82.3;6.4;10
Masculino;Grupo de estudos;Dados;85.5;13.4;25
Feminino;Tutor;Dados;80.2;9.6;13
Feminino;Autodidata;Redes;74.3;2.9;4
Masculino;Autodidata;Web;72.4;8.5;11
Masculino;Autodidata;Web;71.7;6.3;9
Feminino;Grupo de estudos;Redes;82.5;10.1;16
Masculino;Tutor;Dados;79.5;6.0;7
Masculino;Grupo de estudos;Web;82.0;7.7;13
Feminino;Autodidata;Web;72.0;9.3;13
Feminino;Grupo de estudos;Web;82.5;10.2;16
Feminino;Grupo de estudos;Redes;80.0;5.0;8
Masculino;Autodidata;Redes;74.3;7.2;10
Feminino;Autodidata;Dados;73.6;6.8;8
Masculino;Autodidata;Redes;72.2;6.4;7
Masculino;Autodidata;Redes;74.0;12.4;16
Feminino;Tutor;Web;78.9;9.0;12
Feminino;Tutor;Redes;79.1;4.8;7
Feminino;Autodidata;Dados;75.7;10.3;17
Feminino;Tutor;Redes;80.4;13.3;21
Feminino;Autodidata;Redes;74.9;10.6;15
Masculino;Autodidata;Web;72.4;4.2;6
Masculino;Autodidata;Web;72.5;6.8;8
Masculino;Tutor;Dados;80.5;11.2;16
Masculino;Grupo de estudos;Dados;80.6;6.2;10
Outro;Autodidata;Redes;73.5;9.1;13
Masculino;Tutor;Redes;78.7;9.9;12
Feminino;Tutor;Web;81.4;5.7;9
Feminino;Autodidata;Dados;74.1;7.9;13
Feminino;Tutor;Dados;77.8;2.0;3
Feminino;Autodidata;Web;73.5;5.4;8
Feminino;Autodidata;Web;73.6;7.4;11
Feminino;Grupo de estudos;Dados;81.1;4.9;8
Masculino;Grupo de estudos;Redes;84.0;12.1;21
Feminino;Grupo de estudos;Dados;81.9;4.4;7
Masculino;Autodidata;Dados;73.1;6.9;10
Masculino;Autodidata;Dados;73.0;8.3;10
Feminino;Tutor;Dados;80.3;11.6;16
Masculino;Tutor;Redes;76.8;4.4;7
Feminino;Autodidata;Redes;73.4;10.9;18
Feminino;Tutor;Dados;81.4;8.0;13
Feminino;Autodidata;Web;75.2;5.5;10
Masculino;Grupo de estudos;Dados;82.0;9.2;14
Masculino;Autodidata;Web;74.7;8.5;13
Feminino;Tutor;Web;79.8;6.5;9
Masculino;Autodidata;Dados;77.5;8.2;15
Outro;Tutor;Dados;80.6;7.0;9
Outro;Tutor;Web;79.5;8.3;10
Feminino;Autodidata;Web;73.0;9.7;12
Masculino;Grupo de estudos;Redes;80.8;12.0;15
Masculino;Grupo de estudos;Web;81.5;4.9;8
Feminino;Grupo de estudos;Web;82.6;13.3;21
Masculino;Grupo de estudos;Dados;79.4;3.1;5
Masculino;Tutor;Redes;79.1;7.6;11
Feminino;Grupo de estudos;Web;82.1;9.5;20
Feminino;Autodidata;Dados;75.9;8.7;14
Feminino;Autodidata;Dados;74.2;6.4;8
Feminino;Autodidata;Web;73.4;7.5;9
Masculino;Autodidata;Dados;75.1;6.8;10
Feminino;Autodidata;Web;73.2;6.5;7
Outro;Autodidata;Dados;74.0;10.1;18
Masculino;Grupo de estudos;Redes;84.2;8.9;17
Feminino;Autodidata;Dados;73.8;6.3;8
Feminino;Autodidata;Web;72.7;10.2;11
Feminino;Tutor;Redes;80.2;8.8;15
Feminino;Autodidata;Web;73.4;10.0;14
Feminino;Grupo de estudos;Web;81.7;9.6;19
Masculino;Autodidata;Web;73.9;5.9;6
Masculino;Grupo de estudos;Dados;83.5;6.6;10
Feminino;Grupo de estudos;Redes;81.3;9.9;17
Feminino;Autodidata;Web;74.6;9.5;13
Feminino;Autodidata;Dados;72.9;7.9;10
Feminino;Grupo de estudos;Web;81.9;8.3;15
Feminino;Grupo de estudos;Redes;82.1;11.2;17
Feminino;Grupo de estudos;Web;80.9;6.5;11
Feminino;Grupo de estudos;Redes;82.6;9.4;16
Feminino;Autodidata;Web;72.9;7.5;11
Feminino;Autodidata;Redes;74.2;7.5;12
Feminino;Autodidata;Web;74.0;10.7;13
Feminino;Grupo de estudos;Dados;82.0;10.1;14
Masculino;Tutor;Web;79.8;10.0;17
Masculino;Autodidata;Redes;74.1;11.3;17
Masculino;Autodidata;Redes;74.4;8.1;10
Feminino;Autodidata;Web;75.2;9.7;17
Masculino;Autodidata;Dados;72.6;7.2;10
Masculino;Grupo de estudos;Redes;82.8;8.8;17
Feminino;Tutor;Dados;80.5;7.7;11
Masculino;Grupo de estudos;Dados;81.1;8.2;17
Feminino;Tutor;Dados;81.3;9.5;17
Masculino;Autodidata;Web;72.6;6.0;8
Masculino;Grupo de estudos;Redes;84.6;13.2;25
Feminino;Grupo de estudos;Redes;80.8;5.5;10
Masculino;Tutor;Dados;77.5;5.0;8
Masculino;Grupo de estudos;Dados;80.9;10.9;16
Feminino;Tutor;Dados;80.4;10.0;15
Feminino;Tutor;Redes;80.7;9.6;15
Masculino;Tutor;Redes;78.7;9.6;10
Feminino;Autodidata;Redes;74.1;8.0;9
Masculino;Autodidata;Dados;71.3;5.8;6
